epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,51.38389941,53.16378184,65.67540323,56.75403226
2,67.31609242,55.72134226,71.21975806,57.30846774
3,69.51032822,56.38675702,72.02620968,58.46774194
4,70.03184193,58.11459014,72.83266129,59.77822581
5,70.30127368,60.16390431,73.89112903,62.14717742
6,70.59315807,61.32327727,72.88306452,63.25604839
7,70.92484487,62.2530209,72.63104839,63.55846774
8,71.45962606,62.69390921,73.73991935,63.60887097
9,72.44856303,62.90618877,73.6391129,63.15524194
10,73.09050457,63.17459993,75.45362903,62.95362903
11,73.49669334,63.14296212,75.05040323,64.61693548
12,73.74061071,63.7226486,75.65524194,65.77620968
13,73.89063521,65.32495101,74.74798387,69.00201613
14,73.97432234,68.99493795,74.64717742,72.68145161
15,74.49889778,70.83503429,75.95766129,72.17741935
16,74.94897126,75.92974363,76.15927419,83.0141129
17,77.85148596,93.72040333,82.71169355,96.57258065
18,81.87561234,98.50281679,83.92137097,98.4375
19,83.92594709,99.11312051,84.00201613,98.6391129
20,85.9293354,99.38969628,85.58467742,98.73991935
