epoch,train_acc,val_acc
1,20.94795835245128,21.01197789857909
2,20.79952226387492,21.1140898420828
3,23.574220535795924,31.329358728126333
4,37.103944907084205,42.332165891811854
5,44.086872164909195,45.05912327312422
6,45.45636371948432,45.68528595817328
7,44.95005485965073,45.431871532223646
8,45.44964912681723,45.79398740930431
9,45.75480593398555,45.70529236022194
10,47.11598648047203,47.79730805323689
11,48.71622904726771,48.98061402250626
12,49.81213426899515,49.325117370892016
13,49.9669984913596,49.59587067861716
14,50.77566989536119,50.47653470448558
15,51.52127240255938,50.635636913727566
16,51.367083546730576,50.38784796334981
17,52.55453150218741,51.8014312696992
18,53.22087184452821,52.02484778025117
19,53.23770753052178,52.11022609893672
20,53.55515902306885,52.01445456583775
21,53.58887482119032,52.34146190752561
22,53.66448277769868,52.335879292368446
23,54.35227004302593,52.69183129365466
24,55.510003460289596,53.13903127601763
25,56.16867295305959,54.13523742996402
26,57.46879361080851,55.1850193915648
27,57.62952730309263,55.35224395799512
28,58.57809096987657,55.851324347701976
29,59.81047738215252,56.70573763394913
30,61.30728333960885,57.61198365173143
31,61.76815022500936,57.8262204792572
32,61.7897481296468,57.94495999221572
33,61.86729048549556,58.129011648036254
34,61.93984685940727,58.10660717277884
35,62.6985289251397,58.79331463751978
36,63.28724392868614,60.16071941368227
37,63.73802208162434,60.49601242093394
38,64.03560100918985,60.65025590394224
39,64.42957878731293,61.37916531829328
40,64.650760229082,61.439261370212975
41,65.08458559159929,61.497750970420654
42,65.40364575671015,61.75513841118404
43,66.0458282144564,63.11280652893151
44,66.83194450246717,63.364296677891915
45,67.27105735434603,63.84363700514323
46,67.59499683483523,64.89343431949571
47,67.7607260026575,65.09659066071065
48,68.37128761936151,65.26366668577242
49,68.51350758752314,65.26478122923393
50,69.10113762591409,66.01661932038758
51,69.75245702032733,66.20696097488299
52,70.40854873815185,67.66792699868806
53,71.09881130252921,67.68376305457355
54,71.35799192975168,67.90235159916966
55,71.58006460164287,68.22128856547724
56,72.01459898459213,68.5840902068215
57,72.98968248405708,68.92258100317052
58,73.34598174304878,69.61377522354263
59,73.97431339358725,69.55683712846506
60,74.61058487946076,69.99362425376853
61,74.74750232555293,70.3040998304099
62,74.97050742532927,71.08358836829986
63,75.34218989131293,71.09234626728502
64,75.35890750728453,71.14565046164954
65,75.70222627670576,71.19873749606592
66,76.28478460647278,72.26390279674924
67,75.78792773288167,72.53538160257347
68,77.90529324765234,73.10474076350691
69,78.13625755041997,73.3878272748273
70,78.20527270536289,73.71839885365621
71,78.43661436862082,74.16813334626119
72,78.437272977132,74.31791113617602
73,78.86915188045123,74.48196624958912
74,80.7708139055749,75.7723925976697
75,81.26645091279701,76.56113896726343
76,82.29428731611516,77.44940415148605
77,82.55640687134071,78.3819945583355
78,83.79311837365967,79.3947567817937
79,83.82486721682314,79.47638941815593
80,84.10683472540363,79.71806084318916
81,84.6084000946117,79.99813809715415
82,85.59911145233242,81.97971794533868
83,85.98439275805866,82.39832747420107
84,86.223595439262,82.88597858273583
85,86.2719940098563,83.21608928907355
86,87.09906184747864,83.78319610350289
87,87.98070373036263,84.08249682152855
88,88.06359056198646,84.30015083505863
89,88.21995489162596,84.56168569013393
90,89.1927046138044,84.99278335790922
91,89.23444154218556,85.02377411503446
92,89.75841846491836,85.18739742161408
93,90.9573035538182,86.64952821762127
94,92.07747847957197,87.0326243060524
95,93.00250200134407,87.61047907292324
96,93.4607585642284,87.67440978324841
97,94.0380943662816,87.92539872749829
98,95.046124616724,88.38652234691035
99,95.37890797890996,88.66301126497213
100,95.4184037473151,88.8720308270676
